,Talk_ID,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw_dropping,OK,Obnoxious,Inspiring,total,log_views,Other_TED,TED,TEDGlobal,TEDMED,TEDSalon,TEDWomen,TEDx,duration,months_ago
698,699,0.22364217252396168,2.3003194888178915,13.6741214057508,0.7667731629392971,1.34185303514377,1.4057507987220448,6.485623003194887,15.303514376996805,4.440894568690096,1.8849840255591055,16.421725239616613,3.578274760383387,0.44728434504792336,9.39297124600639,3130,8.048788283534199,0,1,0,0,0,0,0,922,102
699,700,0.14294465999591588,15.192975290994488,0.32673065141923624,3.5736164998978968,0.5513579742699612,0.1837859914233204,15.519705942413722,8.801306922605677,0.5921993056973657,13.620584031039412,6.39166836838881,1.1639779456810293,0.4696753114151521,19.175005105166427,4897,8.496378051702317,1,0,0,0,0,0,0,973,102
700,701,15.820584144645341,1.3560500695410291,5.21557719054242,8.344923504867872,0.48678720445062584,1.1821974965229485,9.840055632823367,12.830319888734355,3.0945757997218357,3.05980528511822,2.8164116828929067,4.694019471488178,1.2865090403337969,5.598052851182198,2876,7.964155718840937,0,1,0,0,0,0,0,790,102
701,702,0.47211566833874297,15.01917969902626,1.0032457952198288,1.2393036293892004,0.885216878135143,0.41310120979640014,7.081735025081144,12.865151962230748,1.0032457952198288,8.675125405724403,3.5703747418117437,2.035998819710829,0.4426084390675715,24.579521982885808,3389,8.128290171607052,0,0,0,0,1,0,0,989,102
702,703,13.934045517882025,4.412447747329308,15.652577798420808,1.1147236414305621,1.4398513701811426,0.3251277287505806,1.3005109150023224,8.732001857872735,0.7431490942870413,0.41802136553646074,9.660938225731536,3.344170924291686,0.9753831862517418,5.294937296795169,2153,7.674617497364363,0,0,0,0,0,0,1,868,102
703,704,2.4572649572649574,2.1367521367521367,5.163817663817664,3.1695156695156697,0.9971509971509971,1.0327635327635327,10.220797720797721,9.366096866096866,1.566951566951567,18.482905982905983,1.0683760683760684,3.2407407407407405,0.39173789173789175,15.633903133903134,2808,7.940227765145702,0,1,0,0,0,0,0,1182,102
704,705,2.03955500618047,5.19159456118665,3.522867737948084,4.635352286773794,0.2472187886279357,0.1854140914709518,7.107540173053152,3.584672435105068,0.0,5.80964153275649,2.1013597033374536,1.1742892459826948,0.0,20.828182941903584,1618,7.388946097618437,0,1,0,0,0,0,0,946,102
705,706,15.96688350088705,0.768775872264932,10.79243051448847,0.8870490833826138,0.7392075694855115,0.4730928444707274,10.34890597279716,8.279124778237728,0.6800709639266705,14.458900059136607,0.8574807806031934,2.1880544056771143,0.26611472501478417,12.418687167356595,3382,8.126222529458525,0,0,0,0,1,0,0,757,102
706,707,1.0476190476190477,0.8095238095238094,1.9047619047619049,2.0952380952380953,0.5238095238095238,1.5714285714285716,27.857142857142858,6.142857142857143,2.5238095238095237,12.285714285714286,1.2857142857142856,3.3333333333333335,0.8095238095238094,4.142857142857142,2100,7.649692623711514,0,1,0,0,0,0,0,1379,102
707,708,1.2741652021089631,3.5149384885764503,6.41476274165202,0.8787346221441126,1.9332161687170473,0.7908611599297013,15.905096660808434,16.3884007029877,1.4499121265377855,6.722319859402461,1.0105448154657293,4.701230228471002,0.5272407732864675,7.381370826010544,2276,7.730174795246222,0,1,0,0,0,0,0,960,102
708,709,12.457382638342512,0.8130081300813009,3.6454235510097037,0.7081038552321007,1.5735641227380015,0.996590611067401,21.45292420666142,13.690007867820613,3.3307107264621036,11.25098347757671,2.2029897718332023,3.671649619722004,2.5701547338054027,3.042223970626803,3813,8.246171559857563,0,1,0,0,0,0,0,1141,102
709,710,1.331431288635283,1.6167379933428434,3.4712315739419872,0.7608178792201616,0.9510223490252021,0.7132667617689016,23.06229196386115,6.466951973371374,4.37470280551593,7.845934379457916,2.3300047551117453,5.2781740370898715,2.5677603423680457,5.468378506894912,2103,7.6511201757027,0,1,0,0,0,0,0,345,102
710,711,0.26195153896529144,3.536345776031434,0.9168303863785201,0.5893909626719057,1.1787819253438114,0.45841519318926005,17.157825802226586,11.4603798297315,0.26195153896529144,6.679764243614931,1.8336607727570402,2.161100196463654,0.19646365422396855,6.745252128356253,1527,7.3310603052186325,1,0,0,0,0,0,0,1280,102
711,712,1.766271473505928,1.863053472054198,5.008468424872974,4.137430437938543,1.3307524800387127,0.6532784902008226,7.452213888216792,6.798935398015969,2.588918461166223,12.79941930800871,3.121219453181708,2.346963464795548,4.258407936123881,28.647471570287923,4133,8.326758814511733,0,0,0,0,0,0,1,1284,102
712,713,0.15120967741935484,13.76008064516129,0.655241935483871,14.919354838709678,0.9072580645161291,0.25201612903225806,0.9576612903225806,4.233870967741935,0.6048387096774194,1.6129032258064515,3.5282258064516134,1.310483870967742,1.159274193548387,20.010080645161292,1984,7.592870287844818,1,0,0,0,0,0,0,967,102
713,714,0.7274572830316359,5.515141262053798,3.4342750803586535,3.4850279140585347,1.319573676196921,0.4060226695990526,8.06970055828117,7.545254610049061,1.8440196244290306,12.552867535104042,1.7425139570292674,3.11284046692607,0.9304686178311622,37.23566232447978,5911,8.684570300824369,0,1,0,0,0,0,0,1059,102
714,715,1.4350143501435015,19.311193111931118,3.403034030340303,2.091020910209102,2.6650266502665025,0.4510045100451004,1.3120131201312013,8.118081180811808,1.968019680196802,1.5580155801558015,2.4600246002460024,2.7880278802788028,3.5670356703567037,19.557195571955717,2439,7.79934339821592,0,1,0,0,0,0,0,988,102
715,716,0.8515167642362959,0.9579563597658328,2.927088877062267,2.9803086748270355,2.2352315061202765,0.31931878658861096,11.814795103778605,7.025013304949441,0.8515167642362959,10.484300159659393,1.2240553485896752,3.778605641298563,0.532197977647685,15.91271953166578,1879,7.538494999413465,0,0,0,0,1,0,0,1138,102
716,717,0.06006006006006006,1.951951951951952,6.726726726726727,2.0720720720720722,0.36036036036036034,0.3003003003003003,16.546546546546548,10.99099099099099,1.4414414414414414,9.27927927927928,13.693693693693692,1.3813813813813813,0.3003003003003003,13.363363363363364,3330,8.110727582974489,1,0,0,0,0,0,0,541,102
717,718,27.762803234501348,1.9317160826594788,2.560646900269542,0.9433962264150944,1.8418688230008984,1.4375561545372868,3.4141958670260557,5.300988319856245,3.5040431266846364,0.5840071877807728,0.9883198562443846,9.164420485175203,4.941599281221923,3.3692722371967654,2226,7.70796153183549,0,1,0,0,0,0,0,350,102
